Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms,PDB Structures,n_structures
A1CF,APOBEC1 complementation factor,29974.0,10:50799421-50885675,2,,10q11.23,yes,,melanoma,,,E,,oncogene,Mis,,,,"ACF,ACF64,ACF65,APOBEC1CF,ASP,CCDS73133.1,ENSG00000148584.14,NM_001198819.1,NP_001185748",['2CPD'],1
ABI1,abl-interactor 1,10006.0,10:26746593-26860935,1,Yes,10p12.1,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"ABI-1,CCDS7150.1,E3B1,ENSG00000136754.17,NM_005470.3,NP_005461,NP_001334958.1,Q8IZP0,SSH3BP1",['7LXE'],1
ABL1,v-abl Abelson murine leukemia viral oncogene homolog 1,25.0,9:130713946-130885683,1,Yes,9q34.12,yes,,"CML, ALL, T-ALL",,,L,Dom,"oncogene, fusion","T, Mis","BCR, ETV6, NUP214",,,"ABL,CCDS35165.1,ENSG00000097007.17,JTK7,NM_007313.2,NP_009297,P00519,c-ABL,p150","['1AB2', '1AWO', '1BBZ', '1JU5', '1OPL', '1ZZP', '2ABL', '2E2B', '2F4J', '2FO0', '2G1T', '2G2F', '2G2H', '2G2I', '2GQG', '2HIW', '2HYY', '2HZ0', '2HZ4', '2HZI', '2O88', '2V7A', '3CS9', '3EG0', '3EG1', '3EG2', '3EG3', '3EGU', '3K2M', '3PYY', '3QRI', '3QRJ', '3QRK', '3T04', '3UE4', '3UYO', '4J9B', '4J9C', '4J9D', '4J9E', '4J9F', '4J9G', '4J9H', '4J9I', '4JJB', '4JJC', '4JJD', '4TWP', '4WA9', '4XEY', '4YC8', '4ZOG', '5DC0', '5DC4', '5DC9', '5HU9', '5MO4', '5NP2', '5OAZ', '6AMV', '6AMW', '6BL8', '6NPE', '6NPU', '6NPV', '6XR6', '6XR7', '6XRG', '7CC2', '7DT2', '7N9G', '7PVQ', '7PVR', '7PVS', '7PVV', '7PW2', '7W7X', '7W7Y', '8H7F', '8H7H', '8SSN']",81
ABL2,"c-abl oncogene 2, non-receptor tyrosine kinase",27.0,1:179099327-179229601,1,,1q25.2,yes,,AML,,,L,Dom,"oncogene, fusion",T,ETV6,,,"ABLL,ARG,CCDS30947.1,ENSG00000143322.19,NM_007314.3,NP_009298,P42684","['2ECD', '2KK1', '2XYN', '3GVU', '3HMI', '3ULR', '4EIH', '5NP3', '5NP5']",9
ACKR3,atypical chemokine receptor 3,57007.0,2:236569641-236582358,1,Yes,2q37.3,yes,,lipoma,,,M,Dom,"oncogene, fusion",T,HMGA2,,,"CCDS2516.1,CMKOR1,CXCR7,ENSG00000144476.5,GPR159,NM_020311.2,NP_064707,P25106,RDC1","['6K3F', '7SK3', '7SK4', '7SK5', '7SK6', '7SK7', '7SK8', '7SK9']",8
ACSL3,acyl-CoA synthetase long-chain family member 3,2181.0,2:222860934-222944639,1,Yes,2q36.1,yes,,prostate,,,E,Dom,fusion,T,ETV1,,,"ACS3,CCDS2455.1,ENSG00000123983.13,FACL3,NM_004457.3,NP_004448,NP_001341088.1,NP_001341087.1,O95573,PRO2194",,0
ACSL6,acyl-CoA synthetase long-chain family member 6,23305.0,5:131949973-132011662,2,,5q31.1,yes,,"AML, AEL",,,L,Dom,fusion,T,ETV6,,,"ACS2,CCDS34229.1,ENSG00000164398.12,FACL6,KIAA0837,LACS2,LACS5,NM_001009185.2,NP_001009185,Q9UKU0",,0
ACVR1,"activin A receptor, type I",90.0,2:157736444-157875111,1,Yes,2q24.1,yes,,DIPG,,,O,Dom,oncogene,Mis,,yes,Fibrodysplasia ossificans progressiva,"ACVR1A,ACVRLK2,ALK2,CCDS2206.1,ENSG00000115170.13,NM_001347666.1,NP_001096,NP_001334595.1,NP_001334594.1,NP_001334592.1,Q04771,SKR1","['3H9R', '3MTF', '3OOM', '3Q4U', '4BGG', '4C02', '4DYM', '5OXG', '5OY6', '5S75', '5S76', '5S77', '5S78', '5S79', '5S7A', '5S7B', '5S7C', '5S7D', '5S7E', '5S7F', '5S7G', '5S7H', '5S7I', '5S7J', '5S7K', '5S7L', '5S7M', '5S7N', '5S7O', '5S7P', '5S7Q', '5S7R', '5S7S', '5S7T', '5S7U', '5S7V', '5S7W', '5S7X', '5S7Y', '5S7Z', '5S80', '5S81', '5S82', '5S83', '5S84', '5S85', '5S86', '5S87', '5S88', '5S89', '5S8A', '5S8B', '5S9K', '6ACR', '6EIX', '6GI6', '6GIN', '6GIP', '6I1S', '6JUX', '6SRH', '6SZM', '6T6D', '6T8N', '6TN8', '6UNQ', '6UNR', '6UNS', '6Z36', '6ZGC', '7A21', '7C3G', '7NNS', '7YRU', '8C7W', '8C7Z']",76
ACVR1B,Activin A Receptor Type 1B,91.0,12:51951701-51994217,1,,12q13.13,yes,,pancreatic cancer,,,E,,TSG,"D, F, Mis, N",,,,"ACVRLK4,ALK4,ActRIB,CCDS44894.2,ENSG00000135503.12,NM_020328.3,NP_064733,P36896,SKR2","['7MRZ', '7OLY']",2
ACVR2A,activin A receptor type 2A,92.0,2:147844517-147930824,1,Yes,2q23.1,yes,,"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus",,,E,Rec,TSG,"Mis, N, F",,,,"ACTRII,ACVR2,CCDS33301.1,ENSG00000121989.14,NM_001616.4,NP_001607,NP_001265508,P27037","['3Q4T', '3SOC', '4ASX', '5NH3', '7U5P']",5
AFDN,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)",4301.0,6:167827635-167970232,1,,6q27,yes,,AL,,,L,Dom,"oncogene, fusion",T,KMT2A,,,"AF-6,AF6,CCDS78199.1,ENSG00000130396.20,MLLT4,NM_001291964.1,NP_001278893","['1T2M', '1XZ9', '2AIN', '2EXG', '5A6C', '7QCR']",6
AFF1,"AF4/FMR2 family, member 1",4299.0,4:86935002-87141054,1,Yes,4q22.1,yes,,AL,,,L,Dom,fusion,T,KMT2A,,,"AF-4,AF4,CCDS54775.1,ENSG00000172493.20,MLLT2,NM_001166693.2,NP_001160165,P51825,PBM1",['2LM0'],1
AFF3,"AF4/FMR2 family, member 3",3899.0,2:99551121-100106128,1,Yes,2q11.2,yes,,"ALL, T-ALL",,,L,Dom,"oncogene, fusion",T,"KMT2A, RUNX1",,,"CCDS33258.1,ENSG00000144218.18,LAF4,MLLT2-like,NM_001025108.1,NP_001020279,P51826",,0
AFF4,"AF4/FMR2 family, member 4",27125.0,5:132875379-132963634,1,Yes,5q31.1,yes,,ALL,,,L,Dom,"oncogene, fusion",T,KMT2A,,,"AF5Q31,CCDS4164.1,ENSG00000072364.12,MCEF,NM_014423.3,NP_055238,Q9UHB7","['4IMY', '4OGR', '4OR5', '5JW9', '5L1Z', '6CYT', '6K7P', '6KN5', '6R80']",9
AKAP9,A kinase (PRKA) anchor protein (yotiao) 9,10142.0,7:91940867-92110673,2,,7q21.2,yes,,papillary thyroid,,,E,Dom,fusion,T,BRAF,,,"AKAP350,AKAP450,CCDS5622.1,CG-NAP,ENSG00000127914.16,HYPERION,KIAA0803,LQT11,MU-RMS-40.16A,NM_147185.2,NP_005742,NP_671714.1,PPP1R45,PRKA9,Q99996,YOTIAO",,0
AKT1,v-akt murine thymoma viral oncogene homolog 1,207.0,14:104769349-104794124,1,Yes,14q32.33,yes,,"breast, colorectal, ovarian, NSCLC",,,E,Dom,oncogene,Mis,,,,"AKT,CCDS9994.1,ENSG00000142208.15,P31749,PKB,PRKBA,RAC","['1H10', '1UNP', '1UNQ', '1UNR', '2UVM', '2UZR', '2UZS', '3CQU', '3CQW', '3MV5', '3MVH', '3O96', '3OCB', '3OW4', '3QKK', '3QKL', '3QKM', '4EJN', '4EKK', '4EKL', '4GV1', '5KCV', '6BUU', '6CCY', '6HHF', '6HHG', '6HHH', '6HHI', '6HHJ', '6NPZ', '6S9W', '6S9X', '7APJ', '7MYX', '7NH4', '7NH5']",36
AKT2,v-akt murine thymoma viral oncogene homolog 2,208.0,19:40230317-40285395,1,,19q13.2,yes,,"ovarian, pancreatic",,,E,Dom,oncogene,A,,,,"CCDS12552.1,ENSG00000105221.16,NM_001626.5,NP_001617,P31751","['1GZK', '1GZN', '1GZO', '1MRV', '1MRY', '1O6K', '1O6L', '1P6S', '2JDO', '2JDR', '2UW9', '2X39', '2XH5', '3D0E', '3E87', '3E88', '3E8D', '8Q61']",18
AKT3,v-akt murine thymoma viral oncogene homolog 3,10000.0,1:243499720-243843282,2,,1q44,yes,,GBM,,,O,,oncogene,A,,,,"CCDS31077.1,ENSG00000117020.16,NM_005465.4,NP_005456,PKBG,PRKBG,Q9Y243,RAC-gamma",['2X18'],1
ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),217.0,12:111766922-111817529,2,,12q24.12,yes,,leiomyoma,,,M,Dom,fusion,T,HMGA2,,,"CCDS9155.1,ENSG00000111275.12,NM_000690.3,NP_000681,P05091","['1CW3', '1NZW', '1NZX', '1NZZ', '1O00', '1O01', '1O02', '1O04', '1O05', '1ZUM', '2ONM', '2ONN', '2ONO', '2ONP', '2VLE', '3INJ', '3INL', '3N80', '3N81', '3N82', '3N83', '3SZ9', '4FQF', '4FR8', '4KWF', '4KWG', '5L13', '8DR9']",28
ALK,anaplastic lymphoma kinase (Ki-1),238.0,2:29192774-29921566,1,Yes,2p23.2,yes,yes,"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour",neuroblastoma,familial neuroblastoma,"L, E, M",Dom,"oncogene, fusion","T, Mis, A","NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1",,,"CCDS33172.1,CD246,ENSG00000171094.17,NM_004304.4,NP_004295,Q9UM73","['2KUP', '2KUQ', '2XB7', '2XBA', '2XP2', '2YFX', '2YHV', '2YJR', '2YJS', '2YS5', '2YT2', '3AOX', '3L9P', '3LCS', '3LCT', '4ANL', '4ANQ', '4ANS', '4CCB', '4CCU', '4CD0', '4CLI', '4CLJ', '4CMO', '4CMT', '4CMU', '4CNH', '4CTB', '4CTC', '4DCE', '4FNW', '4FNX', '4FNY', '4FNZ', '4FOB', '4FOC', '4FOD', '4JOA', '4MKC', '4TT7', '4Z55', '5A9U', '5AA8', '5AA9', '5AAA', '5AAB', '5AAC', '5FTO', '5FTQ', '5IMX', '5IUG', '5IUH', '5IUI', '5KZ0', '5VZ5', '6AT9', '6CDT', '6E0R', '6EBW', '6EDL', '6MX8', '7BTT', '7JY4', '7JYR', '7JYS', '7JYT', '7LRZ', '7LS0', '7MZW', '7MZY', '7N00', '7NWZ', '7NX3', '7NX4', '7R7K', '7R7R', '8ARJ']",77
AMER1,APC membrane recruitment protein 1,139285.0,X:64185117-64205744,1,Yes,Xq11.2,yes,,Wilms tumour,,,O,Rec,TSG,"F, D, N, Mis",,,,"CCDS14377.2,ENSG00000184675.9,FAM123B,FLJ39827,NM_152424.3,NP_689637,Q5JTC6,RP11-403E24.2,WTX","['4YJE', '4YJL', '4YK6']",3
ANK1,ankyrin 1,286.0,8:41653225-41896762,2,,8p11.21,yes,,CCRCC,,,E,,,Mis,,,,"ANK,CCDS47849.1,ENSG00000029534.20,NM_001142446.1,NP_001135918,P16157,SPH1","['1N11', '2YQF', '2YVI', '3F59', '3KBT', '3KBU', '3UD1', '3UD2', '7TW3', '7TW5', '7TW6', '7UZQ', '7UZU', '7V0K', '7V0M', '7V0S', '7V0X', '8CS9', '8CSL', '8CSV', '8CTE']",21
APC,adenomatous polyposis of the colon gene,324.0,5:112737888-112846239,1,Yes,5q22.2,yes,yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS",adenomatous polyposis coli; Turcot syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"CCDS4107.1,DP2,DP2.5,DP3,ENSG00000134982.16,NM_001354901.1,NP_000029,NP_001341826.1,NP_001341827.1,NP_001341830.1,NP_001341828.1,NP_001341824.1,P25054,PPP1R46","['1DEB', '1EMU', '1JPP', '1M5I', '1T08', '1TH1', '1V18', '2RQU', '3AU3', '3NMW', '3NMX', '3NMZ', '3QHE', '3RL7', '3RL8', '3T7U', '4G69', '4YJE', '4YJL', '4YK6', '5B6G', '5IZ6', '5IZ8', '5IZ9', '5IZA', '5Z8H', '7F6M', '7F7O', '7XTY', '8X2Q']",30
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582.0,22:38982409-38992784,1,Yes,22q13.1,,yes,,breast cancer,,E,Rec,"oncogene, TSG",D,,,,"CCDS13982.1,ENSG00000179750.15,FLJ21201,NM_004900.4,NP_004891,NP_004891.4,PHRBNL,Q9UH17","['2NBQ', '5CQD', '5CQH', '5CQI', '5CQK', '5SXG', '5SXH', '5TD5', '5TKM', '6NFK', '6NFL', '6NFM', '7RW6']",13
AR,Androgen Receptor,367.0,X:67544036-67730619,1,Yes,Xq12,yes,yes,prostate,,,E,Dom,oncogene,Mis,,yes,"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy","AIS,CCDS14387.1,DHTR,ENSG00000169083.16,HUMARA,NM_000044.3,NP_000035,NR3C4,P10275,SBMA,SMAX1","['1E3G', '1GS4', '1T5Z', '1T63', '1T65', '1XJ7', '1XOW', '1XQ3', '1Z95', '2AM9', '2AMA', '2AMB', '2AO6', '2AX6', '2AX7', '2AX8', '2AX9', '2AXA', '2HVC', '2OZ7', '2PIO', '2PIP', '2PIQ', '2PIR', '2PIT', '2PIU', '2PIV', '2PIW', '2PIX', '2PKL', '2PNU', '2Q7I', '2Q7J', '2Q7K', '2Q7L', '2YHD', '2YLO', '2YLP', '2YLQ', '2Z4J', '3B5R', '3B65', '3B66', '3B67', '3B68', '3BTR', '3L3X', '3L3Z', '3RLJ', '3RLL', '3V49', '3V4A', '3ZQT', '4HLW', '4K7A', '4OEA', '4OED', '4OEY', '4OEZ', '4OFR', '4OFU', '4OGH', '4OH5', '4OH6', '4OHA', '4OIL', '4OIU', '4OJ9', '4OJB', '4OK1', '4OKB', '4OKT', '4OKW', '4OKX', '4OLM', '4QL8', '5CJ6', '5JJM', '5T8E', '5T8J', '5V8Q', '5VO4', '7ZTX', '7ZTZ', '7ZU1', '7ZU2', '8E1A', '8FGY', '8FGZ', '8FH0', '8FH1', '8FH2']",92
ARAF,"A-Raf proto-oncogene, serine/threonine kinase",369.0,X:47561100-47571920,2,,Xp11.3,yes,,"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis",,,"E, L",,oncogene,Mis,,,,"ARAF1,CCDS75970.1,ENSG00000078061.12,NM_001256196.1,NP_001243125","['1WXM', '2MSE']",2
ARHGAP26,Rho GTPase activating protein 26,23092.0,5:142770377-143229011,1,Yes,5q31.3,yes,,"AML, MDS",,,L,Dom,"TSG, fusion","T, F, S",KMT2A,,,"CCDS4277.1,ENSG00000145819.16,GRAF,KIAA0621,OPHN1L,OPHN1L1,Q9UNA1",['1UGV'],1
ARHGAP35,Rho GTPase activating protein 35,2909.0,19:46918676-47005077,1,,19q13.32,yes,,endometrial carcinoma,,,E,,TSG,"N, Mis, F, O",,,,"CCDS46127.1,ENSG00000160007.18,GRF-1,GRLF1,KIAA1722,NM_004491.4,NP_004482,P190A,Q9NRY4,p190ARhoGAP,p190RhoGAP","['2K85', '3C5H', '3FK2', '6PXC', '6WAY', '8DGQ']",6
ARHGAP5,Rho GTPase activating protein 5,394.0,14:32077289-32159728,2,,14q12,yes,,"colon cancer, glioma",,,"E, O",,oncogene,Mis,,,,"CCDS32062.1,ENSG00000100852.12,GFI2,NM_001030055.1,NP_001025226,Q13017,RhoGAP5,p190-B,p190BRhoGAP","['2EE4', '2EE5', '5U4V']",3
ARHGEF10,Rho guanine nucleotide exchange factor 10,9639.0,8:1824015-1958641,2,,8p23.3,yes,,colon cancer,,,E,,TSG,D,,,,"CCDS78296.1,ENSG00000104728.15,Gef10,KIAA0294,NM_001308153.1,NP_001295082,O15013",,0
ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,55160.0,1:17539835-17697869,2,,1p36.13,yes,,lymphoma,,,L,,TSG,D,,,,"CCDS182.1,ENSG00000074964.16,FLJ10521,KIAA1626,NM_018125.3,NP_060595,Q9HCE6",,0
ARHGEF12,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),23365.0,11:120337078-120489936,1,,11q23.3,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"CCDS41727.1,ENSG00000196914.8,KIAA0382,LARG,NM_015313.2,NP_056128,Q9NZN5","['1TXD', '1X86', '2OMJ', '2OS6']",4
ARID1A,AT rich interactive domain 1A (SWI-like),8289.0,1:26696033-26782110,1,Yes,1p36.11,yes,,"clear cell ovarian carcinoma, RCC, breast",,,E,Rec,"TSG, fusion","Mis, N, F, S, D, T",MAST2,,,"B120,BAF250,BAF250a,C10rf4,C1orf4,CCDS285.1,ENSG00000117713.19,NM_006015.4,NP_006006,O14497,P270,SMARCF1","['1RYU', '6LTH', '6LTJ']",3
ARID1B,AT rich interactive domain 1B,57492.0,6:156777374-157210779,1,Yes,6q25.3,yes,,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",,,E,Rec,TSG,"Mis, F, N, O",,,,"6A3-5,BAF250b,CCDS55072.1,DAN15,ELD/OSA1,ENSG00000049618.22,KIAA1235,NM_020732.3,NP_065783,Q8NFD5,p250R","['2CXY', '2EH9']",2
ARID2,AT rich interactive domain 2,196528.0,12:45729665-45908040,1,Yes,12q12,yes,,hepatocellular carcinoma,,,E,Rec,TSG,"N, S, F",,,,"BAF200,CCDS31783.1,DKFZp686G052,ENSG00000189079.15,FLJ30619,KIAA1557,NM_152641.2,NP_689854,Q68CP9","['7VDV', '7Y8R']",2
ARNT,aryl hydrocarbon receptor nuclear translocator,405.0,1:150809705-150876768,1,Yes,1q21.3,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,ETV6,,,"CCDS970.1,ENSG00000143437.20,HIF-1beta,NM_001668.3,NP_001659,NP_001337154.1,NP_001337155.1,NP_001337153.1,P27540,bHLHe2","['1X0O', '2A24', '2B02', '2HV1', '2K7S', '3F1N', '3F1O', '3F1P', '3H7W', '3H82', '4EQ1', '4GHI', '4GS9', '4H6J', '4LPZ', '4PKY', '4XT2', '5TBM', '5UFP', '5V0L', '6CZW', '6D09', '6D0B', '6D0C', '6X21', '6X28', '6X2H', '6X37', '6X3D', '8CK3', '8CK4', '8CK8']",32
ASPM,Assembly Factor For Spindle Microtubules,259266.0,1:197084128-197146694,2,,1q31.3,yes,yes,"breast cancer, lung cancer, endometrial cancer, melanoma",,nevoid basal cell carcinoma syndrome,"E, O",,,"A, F, Mis, N",,,,"ASP,CCDS1389.1,Calmbp1,ENSG00000066279.17,FLJ10517,FLJ10549,MCPH5,NM_018136.4,NP_060606,Q8IZT6",,0
ASPSCR1,"alveolar soft part sarcoma chromosome region, candidate 1",79058.0,17:81977550-82017404,1,Yes,17q25.3,yes,,alveolar soft part sarcoma,,,M,Dom,fusion,T,TFE3,,,"ASPL,ASPS,CCDS58611.1,ENSG00000169696.15,NM_001251888.1,NP_001238817,Q9BZE9,TUG,UBXD9,UBXN9","['5IFS', '5IFW', '7OAT']",3
ASXL1,additional sex combs like 1,171023.0,20:32358330-32439319,1,Yes,20q11.21,yes,,"MDS, CMML",,,L,Rec,TSG,"F, N, Mis",,yes,Bohring-Opitz syndrome,"CCDS13201.1,ENSG00000171456.17,KIAA0978,NM_015338.5,NP_056153,Q8IXJ9","['8H1T', '8SVF']",2
ASXL2,"additional sex combs like 2, transcriptional regulator",55252.0,2:25741925-25780309,2,,2p23.3,yes,,"melanoma, CCRCC, AML",,,"E, L",,TSG,"O,N, F",,,,"ASXH2,ENSG00000143970.16,FLJ10898,KIAA1685,Q76L83",,0
ATF1,activating transcription factor 1,466.0,12:50764292-50821122,1,Yes,12q13.12,yes,,"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma",,,"E, M",Dom,"oncogene, fusion",T,"EWSR1, FUS",,,"CCDS8803.1,ENSG00000123268.8,NM_005171.4,NP_005162,P18846,TREB36",,0
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,471.0,2:215311817-215349763,1,Yes,2q35,yes,,ALCL,,,L,Dom,fusion,T,ALK,,,"AICARFT,CCDS2398.1,ENSG00000138363.14,IMPCHASE,NM_004044.6,NP_004035,P31939,PURH","['1P4R', '1PKX', '1PL0', '5UY8', '5UZ0']",5
ATM,ataxia telangiectasia mutated,472.0,11:108222832-108369099,1,Yes,11q22.3,yes,yes,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma",ataxia-telangiectasia,"L, O",Rec,TSG,"D, Mis, N, F, S",,,,"ATA,ATC,ATD,ATDC,CCDS31669.1,ENSG00000149311.18,NM_000051.3,NP_000042,Q13315,TEL1,TELO1","['5NP0', '5NP1', '6HKA', '6K9K', '6K9L', '7NI4', '7NI5', '7NI6', '7SIC', '7SID', '8OXM', '8OXO', '8OXP', '8OXQ']",14
ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",476.0,1:116373867-116404772,1,Yes,1p13.1,yes,,adrenal aldosterone producing adenoma,,,E,Dom,"oncogene, TSG","Mis, O",,,,"CCDS53351.1,ENSG00000163399.15,NM_001160233.1,NP_001153705,P05023","['7E1Z', '7E20', '7E21']",3
ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",492.0,X:153536122-153582929,1,Yes,Xq28,yes,,adrenal aldosterone producing adenoma,,,E,Dom,TSG,O,,,,"CCDS35440.1,CFAP39,CLA2,ENSG00000067842.17,NM_001001344.2,NP_001001344,PMCA3,Q16720,SCAX1",,0
ATR,ATR serine/threonine kinase,545.0,3:142449237-142578826,1,Yes,3q23,yes,yes,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,"E, L",Dom,TSG,"F, Mis",,yes,Seckel syndrome 1,"CCDS3124.1,ENSG00000175054.14,FRP1,MEC1,NM_001184.3,NP_001175,Q13535,SCKL,SCKL1",['5YZ0'],1
ATRX,alpha thalassemia/mental retardation syndrome X-linked,546.0,X:77504878-77786269,1,Yes,Xq21.1,yes,,"pancreatic neuroendocrine tumours, paediatric GBM",,,E,Rec,TSG,"Mis, F, N",,yes,ATR-X (alpha thalassemia/mental retardation) syndrome,"CCDS14434.1,ENSG00000085224.21,JMS,MRX52,NM_000489.4,NP_000480,P46100,RAD54,XH2,XNP","['2JM1', '2LBM', '2LD1', '3QL9', '3QLA', '3QLC', '3QLN', '4W5A', '5GRQ', '5Y18', '5Y6O', '6G0O']",12
AXIN1,axin 1,8312.0,16:287440-352659,1,Yes,16p13.3,yes,,"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma",,,"E, O",Rec,TSG,"D, Mis, N, F, S",,,,"CCDS10405.1,ENSG00000103126.14,NM_003502.3,NP_003493,O15169,PPP1R49","['1DK8', '1EMU', '1O9U', '3ZDI', '4B7T', '4NM0', '4NM3', '4NM5', '4NM7', '4NU1', '5WZZ', '6JCK', '7SXF', '7SXG', '7SXH', '7SXJ']",16
AXIN2,axin 2,8313.0,17:65528563-65561647,1,Yes,17q24.1,yes,yes,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,oligodontia-colorectal cancer syndrome,E,Rec,TSG,"Mis, F, N",,,,"CCDS11662.1,DKFZp781B0869,ENSG00000168646.12,MGC126582,NM_004655.3,NP_004646,Q9Y2T1",['8HEO'],1
